Usuario,Comentario,Calificación
Un usuario de Google,buenas,4
Un usuario de Google,good x2,5
Un usuario de Google,muy buena desd q empece a usar.. td bien ningun problema asta el mmnto,5
Un usuario de Google,Excelente,5
Un usuario de Google,"Tengo una duda e ingreso al bcp chat de WhatsApp y se demoran en responder a mi consulta, pésimo servicio",1
Un usuario de Google,ESTOY TRATANDO DE INGRESAR A LA APP Y NO PERMITE.... CARGA Y LUEGO SE CIERRA.... ALGUIEN QUE PRESENTE LA MISMA SITUACIÓN.... OH QUE SOLUCIÓN HAY?,1
Un usuario de Google,muy bueno,5
Un usuario de Google,Servicio muy bueno,5
Un usuario de Google,Desde el sábado no puedo ingresar a la app del BCP. Han actualizado la versión por otra más actual???,3
Un usuario de Google,buena,5
Un usuario de Google,"El app presenta fallas casi siempre, se queda cargando con la pantalla azul que dice BCP y no hay cuando se pueda poner la clave para el acceso, tengo que cerrar la app cada vez. Un detalle importante, no te muestran cuanto desgravamen te cobran mensual por el uso de tarjeta de crédito, actualmente otros bancos de perú ya tienen esa opción en su banca móvil, Pero BCP no está corrigiendo .. pd: Hay que descargar el estado de cuenta de cada mes par tener que ver cuanto desgravamen te cobran",1
Un usuario de Google,Todo genial,5
Un usuario de Google,deberían integrar la opción de desbloqueo de huella digital o face id,4
Un usuario de Google,muy bueno,5
Un usuario de Google,excelente 👌,5
Un usuario de Google,Excelente,5
Un usuario de Google,excelente,5
Un usuario de Google,"la aplicación es buena, PERO NO PUEDO PAGAR ESCANEANDO EL QR DEL BANCO BBVA CONTINENTAL , ES MUY FRUSTRANTE IR A VARIOS ESTABLECIMIENTOS Y QUE TENGAN SOLO EL QR BBVA Y ESTA APLICACION SIMPLEMENTE NO LEE EL QR, DONDE QUEDO LA INTEROPERATIVIDAD.",1
Un usuario de Google,Excelente nos facilita mucho,5
Un usuario de Google,No puedo abrir mi aplicacion,1
Un usuario de Google,excelenete,5
Un usuario de Google,"excelente, pero demora mucho en ingresar uno, todo sea por la seguridad",5
Un usuario de Google,Felicitaciones por la Aplicación,5
Un usuario de Google,Buena,5
Un usuario de Google,"Desde el día sábado no se puede ingresar a la aplicación, tenía pagos de letras y no es posible hacer los pagos porque la. Clave virtual no se puede obtener, corrijan el problema",5
Un usuario de Google,muy bueno.,5
Un usuario de Google,buen servicio,5
Un usuario de Google,Muy buena y rápida la atencion,5
Un usuario de Google,rapida,5
Un usuario de Google,buena,5
Un usuario de Google,excelente,5
Un usuario de Google,ok,4
